Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Commercial Parking Lots & Parking Garages,"New, renewal, or amendment application for having a commercial parking lot or parking garage.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Parking Lots & Garages,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Parking Lots & Parking Garages,This permit allows operation of commercial parking lots and garages.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Parking Lots & Garages,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dealer in Firearms,"This permit allows the applicant to sell firearms, or devices designed to be used as a weapon or modified to be used as a weapon by expelling a projectile through combustion.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discharge of Canon,This permit application details what agencies need to be contact to gain permission to fire a canon.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driverless Auto Rental,,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escort Service Employee,This permit allows someone to charge for accompanying other persons to or about social affairs and any other public place or private quarters. ,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escort Service Owner,This permit is for businesses that provide  services of accompanying other persons to or about social affairs and any other public place or private quarters. ,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortuneteller,This permit allows you to advertise or engage in fortunetelling with the object of charging for the service or seeking some sort of benefit or gain.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funeral Procession Escort,This permit authorizes persons other than traffic officers or members of the Fire Department to direct traffic during a funeral procession.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse Drawn Vehicles,This permit allows operatin of a horse -drawn vehicle business.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junk Dealer,"This permit is for anyone who collects, buys, sells, or disposes of junk. Recyclers and recycling centers are excluded.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Junk Dealer/Junkyard,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junk Gather Resident and Non Resident,"This permit is for anyone who collects, buys, sells, or disposes of junk. Recyclers and recycling centers are excluded.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Junk Dealer/Junkyard,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensed Tour Guide,This permit authorizes persons to charge for guiding people through or about San Francisco.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Tour Company,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawn Broker,"This permit is for any person or business which loans money, using deposited personal property as security for the repayment of the loan.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Pawn Shop,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peddler (non food),This permit is for any person wishing to sell or peddle non-food goods in a public place.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Car Operator,"This permits a business that tows autombiles, to operate in San Francisco.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Towing Company,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,San Francisco Police Department Combination Form,https://lametropolitaine.files.wordpress.com/2014/07/sftow.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Masseuse/Masseur ,This permit allows a person to charge for massage services.,,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Massage Establishment,Massage Parlor*Massage Chair*Foot Massage*Spa*Day Spa*Shoulder Massage*Scalp Massage,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,San Francisco Police Department Combination Form,https://lametropolitaine.files.wordpress.com/2014/07/sftow.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedicab Operators & Owners,"This permit allows operators and owners of manually propelled, chain or belt driven devices to charge passengers for transportation.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",Pedicab,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,San Francisco Police Department Combination Form,https://lametropolitaine.files.wordpress.com/2014/07/sftow.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Bath House,"This permit is for operation of a public or private area that furnishes steam or other baths, excluding ordinary tub baths where an attendant is not present.",,,"1) Print and complete the San Francisco Police Department Permit Application & Letter of Intent. 2) Bring the completed forms to 850 Bryant Street, Room 458, San Francisco, CA 94103 for additional instruction.",,,SF Police Department,City,,,,,,San Francisco Police Department Permit Application,https://lametropolitaine.files.wordpress.com/2014/07/sfpd109.pdf,San Francisco Police Department Letter of Intent Form,https://lametropolitaine.files.wordpress.com/2014/07/permit-application-checklist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
